url,type,price,currency,surface,rooms,bathrooms,yearBuilt,city,postalCode,description,terrace,terrace_area,garden,garden_area,equipped_kitchen,furnished,swimming_pool,kitchen_surface
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91458,apartment,315 000,EUR,80²,1,1,,elsene,1050,,,,,,,,,
https://immovlan.be/en/detail/master-house/for-sale/1200/sint-lambrechts-woluwe/vbc91800,master-house,1 350 000,EUR,236²,6,,,sint-lambrechts-woluwe,1200,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbt70306,apartment,499 900,EUR,225²,3,2,,blankenberge,8370,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8551/heestert/rbt69423,residence,Priceonrequest,EUR,170²,3,,,heestert,8551,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/1082/berchem-sainte-agathe/vbc89484,residence,570 000,EUR,190²,4,,,berchem-sainte-agathe,1082,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1090/jette/rbt70097,apartment,Priceonrequest,EUR,110²,3,2,,jette,1090,,,,,,,,,
https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89694,duplex,299 000,EUR,55²,1,,,brussels,1000,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc89520,apartment,215 000,EUR,130²,3,,,schaarbeek,1030,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbt70306,apartment,499 900,EUR,225²,3,2,,blankenberge,8370,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt70220,residence,430 000,EUR,195²,3,1,,gistel,8470,,,,,,,,,
https://immovlan.be/en/detail/duplex/for-sale/3550/zolder/rbt69836,duplex,337 000,EUR,156²,3,1,,zolder,3550,,1,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9090/gontrode/rbt69725,residence,439 000,EUR,155²,3,,,gontrode,9090,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbc89510,residence,Makeofferfrom109 000,EUR,112²,2,,,charleroi,6000,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/8610/kortemark/rbt69991,residence,319 000,EUR,237²,4,,,kortemark,8610,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8480/ichtegem/rbt70221,residence,245 000,EUR,,3,1,,ichtegem,8480,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/8620/nieuwpoort/rbt69334,apartment,185 000,EUR,55²,1,1,,nieuwpoort,8620,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc89366,residence,195 000,EUR,140²,3,,,andenne,5300,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8930/menen/rbt68826,residence,99 000,EUR,94²,3,,1930,menen,8930,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9990/maldegem/rbt69345,apartment,295 000,EUR,84²,2,,,maldegem,9990,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbc89444,residence,125 000,EUR,,4,1,,marcinelle,6001,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5190/moustier-sur-sambre/vbc89196,residence,335 500,EUR,212²,3,,,moustier-sur-sambre,5190,,,,,,1,,,
https://immovlan.be/en/detail/mixed-building/for-sale/6511/stree/vbc89216,mixed-building,Makeofferfrom197 500,EUR,241²,3,1,,stree,6511,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8520/kuurne/rbt68979,residence,110 000,EUR,120²,3,1,,kuurne,8520,,,,,,,,,
https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbc89345,villa,Makeofferfrom640 000,EUR,192²,4,,,rixensart,1330,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68850,apartment,385 500,EUR,137²,3,1,,kluizen,9940,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68851,apartment,349 500,EUR,88²,2,1,,kluizen,9940,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1980/zemst/rbt69080,residence,Makeofferfrom299 000,EUR,130²,3,,,zemst,1980,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68849,apartment,367 500,EUR,99²,2,1,,kluizen,9940,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9550/herzele/rbt68841,residence,438 000,EUR,252²,3,,,herzele,9550,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbc89441,residence,Makeofferfrom279 000,EUR,139²,3,,,ransart,6043,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/rbt68813,residence,295 000,EUR,196²,3,1,,aalbeke,8511,,,,,,,,,
https://immovlan.be/en/detail/penthouse/for-sale/8630/veurne/rbt69333,penthouse,549 000,EUR,115²,3,,2009,veurne,8630,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbt69212,residence,239 000,EUR,99²,3,,,lier,2500,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/5575/willerzie/vbc89368,residence,240 000,EUR,144²,5,,,willerzie,5575,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89261,apartment,1 275 000,EUR,219²,3,,,brussels,1000,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbt68093,apartment,310 000,EUR,74²,1,1,,middelkerke,8430,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8820/torhout/rbt68819,residence,179 000,EUR,,3,1,,torhout,8820,,,,,,,,,
https://immovlan.be/en/detail/ground-floor/for-sale/1200/sint-lambrechts-woluwe/vbc88713,ground-floor,395 000,EUR,98²,2,,,sint-lambrechts-woluwe,1200,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/5377/somme-leuze/vbc88699,residence,520 000,EUR,292²,4,,,somme-leuze,5377,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbc88904,residence,169 000,EUR,145²,2,1,,liege,4000,,,,1,,,,,
